round,accuracy,loss,uploaded,blocked
1,0.8918,0.214,3,0
5,0.9542,0.1104,3,0
10,0.9552,0.0972,3,0
15,0.9556,0.097,3,0
20,0.9557,0.0944,3,0
25,0.9555,0.0937,3,0
30,0.9557,0.0933,3,0
35,0.9557,0.096,3,0
40,0.9557,0.0933,3,0
45,0.9558,0.0926,3,0
