round,accuracy,loss,uploaded,blocked
1,0.9215,0.1702,3,0
5,0.9535,0.1013,3,0
10,0.9548,0.0969,3,0
15,0.9553,0.0962,2,1
20,0.9556,0.0942,2,1
25,0.9558,0.0929,2,1
30,0.9554,0.0939,2,1
35,0.9556,0.0938,2,1
40,0.9557,0.0932,2,1
45,0.955,0.0943,2,1
50,0.9558,0.0931,2,1
55,0.955,0.0941,2,1
65,0.9558,0.0943,2,1
