round,accuracy,loss,uploaded,blocked
1,0.9397,0.164,3,0
5,0.9538,0.1041,3,0
10,0.9543,0.0964,3,0
15,0.9557,0.0937,3,0
20,0.955,0.0946,3,0
25,0.9548,0.0947,3,0
30,0.9555,0.0927,3,0
35,0.9558,0.093,3,0
40,0.9555,0.092,3,0
45,0.9559,0.0927,3,0
