round,accuracy,loss,uploaded,blocked
1,0.8987,0.2852,6,0
5,0.9297,0.3098,6,0
10,0.9259,0.2968,6,0
15,0.9364,0.2716,6,0
20,0.9352,0.2927,6,0
25,0.9354,0.3322,6,0
30,0.9374,0.4008,5,1
35,0.9369,0.47,6,0
40,0.9373,0.4597,5,1
45,0.9366,0.4754,6,0
50,0.9374,0.6048,6,0
